season,week,team_key,team_name,opp_key,opp_name,pts_for,pts_against
2004,11,101.l.442122.t.4,TKOSpikes,101.l.442122.t.9,Los_ticos,73.0,92.0
2004,11,101.l.442122.t.3,The Connivers,101.l.442122.t.1,Hags of Hagglestick,92.0,41.0
2004,12,101.l.442122.t.2,Btch McFcky Pants,101.l.442122.t.3,The Connivers,82.0,89.0
2004,12,101.l.442122.t.8,Drinkin' in the Yard,101.l.442122.t.6,Goat,96.0,138.0
2004,12,101.l.442122.t.6,Goat,101.l.442122.t.8,Drinkin' in the Yard,138.0,96.0
2004,12,101.l.442122.t.7,Grunting Grundles,101.l.442122.t.10,SBU,86.0,75.0
2004,12,101.l.442122.t.1,Hags of Hagglestick,101.l.442122.t.4,TKOSpikes,34.0,115.0
2004,12,101.l.442122.t.9,Los_ticos,101.l.442122.t.5,Rancid Douche Cunts,77.0,93.0
2004,12,101.l.442122.t.5,Rancid Douche Cunts,101.l.442122.t.9,Los_ticos,93.0,77.0
2004,12,101.l.442122.t.10,SBU,101.l.442122.t.7,Grunting Grundles,75.0,86.0
2004,12,101.l.442122.t.4,TKOSpikes,101.l.442122.t.1,Hags of Hagglestick,115.0,34.0
2004,12,101.l.442122.t.3,The Connivers,101.l.442122.t.2,Btch McFcky Pants,89.0,82.0
2004,13,101.l.442122.t.2,Btch McFcky Pants,101.l.442122.t.4,TKOSpikes,78.0,85.0
2004,13,101.l.442122.t.8,Drinkin' in the Yard,101.l.442122.t.7,Grunting Grundles,100.0,125.0
2004,13,101.l.442122.t.6,Goat,101.l.442122.t.9,Los_ticos,79.0,58.0
2004,13,101.l.442122.t.7,Grunting Grundles,101.l.442122.t.8,Drinkin' in the Yard,125.0,100.0
2004,13,101.l.442122.t.1,Hags of Hagglestick,101.l.442122.t.5,Rancid Douche Cunts,76.0,85.0
2004,13,101.l.442122.t.9,Los_ticos,101.l.442122.t.6,Goat,58.0,79.0
2004,13,101.l.442122.t.5,Rancid Douche Cunts,101.l.442122.t.1,Hags of Hagglestick,85.0,76.0
2004,13,101.l.442122.t.10,SBU,101.l.442122.t.3,The Connivers,40.0,138.0
2004,13,101.l.442122.t.4,TKOSpikes,101.l.442122.t.2,Btch McFcky Pants,85.0,78.0
2004,13,101.l.442122.t.3,The Connivers,101.l.442122.t.10,SBU,138.0,40.0
2004,14,101.l.442122.t.2,Btch McFcky Pants,101.l.442122.t.5,Rancid Douche Cunts,109.0,91.0
2004,14,101.l.442122.t.8,Drinkin' in the Yard,101.l.442122.t.10,SBU,68.0,44.0
2004,14,101.l.442122.t.6,Goat,101.l.442122.t.1,Hags of Hagglestick,82.0,80.0
2004,14,101.l.442122.t.7,Grunting Grundles,101.l.442122.t.9,Los_ticos,83.0,61.0
2004,14,101.l.442122.t.1,Hags of Hagglestick,101.l.442122.t.6,Goat,80.0,82.0
2004,14,101.l.442122.t.9,Los_ticos,101.l.442122.t.7,Grunting Grundles,61.0,83.0
2004,14,101.l.442122.t.5,Rancid Douche Cunts,101.l.442122.t.2,Btch McFcky Pants,91.0,109.0
2004,14,101.l.442122.t.10,SBU,101.l.442122.t.8,Drinkin' in the Yard,44.0,68.0
2004,14,101.l.442122.t.4,TKOSpikes,101.l.442122.t.3,The Connivers,101.0,82.0
2004,14,101.l.442122.t.3,The Connivers,101.l.442122.t.4,TKOSpikes,82.0,101.0
2004,15,101.l.442122.t.2,Btch McFcky Pants,101.l.442122.t.6,Goat,98.0,64.0
2004,15,101.l.442122.t.8,Drinkin' in the Yard,101.l.442122.t.9,Los_ticos,73.0,61.0
2004,15,101.l.442122.t.6,Goat,101.l.442122.t.2,Btch McFcky Pants,64.0,98.0
2004,15,101.l.442122.t.7,Grunting Grundles,101.l.442122.t.1,Hags of Hagglestick,88.0,81.0
2004,15,101.l.442122.t.1,Hags of Hagglestick,101.l.442122.t.7,Grunting Grundles,81.0,88.0
2004,15,101.l.442122.t.9,Los_ticos,101.l.442122.t.8,Drinkin' in the Yard,61.0,73.0
2004,15,101.l.442122.t.5,Rancid Douche Cunts,101.l.442122.t.3,The Connivers,63.0,72.0
2004,15,101.l.442122.t.10,SBU,101.l.442122.t.4,TKOSpikes,50.0,77.0
2004,15,101.l.442122.t.4,TKOSpikes,101.l.442122.t.10,SBU,77.0,50.0
2004,15,101.l.442122.t.3,The Connivers,101.l.442122.t.5,Rancid Douche Cunts,72.0,63.0
2004,16,101.l.442122.t.2,Btch McFcky Pants,101.l.442122.t.9,Los_ticos,76.0,133.0
